"id";"ip_address";"event_name";"match_no";"time_sec";"robot";"alliance";"action";"location";"result";"points";"timestamp"
"5260";"192.168.1.131";"Week 2 PLANO";"3";"81";"148";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:31:41"
"5261";"192.168.1.139";"Week 2 PLANO";"3";"79";"10014";"Blue";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 10:31:46"
"5262";"192.168.1.139";"Week 2 PLANO";"3";"84";"10014";"Blue";"picks_up_algae";"mid_field";"Success";"0";"2025-03-08 10:31:51"
"5263";"192.168.1.131";"Week 2 PLANO";"3";"91";"148";"Red";"scores_coral_level_4";"reef";"Failure";"0";"2025-03-08 10:31:51"
"5264";"192.168.1.131";"Week 2 PLANO";"3";"96";"148";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:31:56"
"5265";"192.168.1.139";"Week 2 PLANO";"3";"94";"10014";"Blue";"scores_coral_level_4";"reef";"Failure";"0";"2025-03-08 10:32:01"
"5266";"192.168.1.109";"Week 2 PLANO";"3";"112";"7091";"Red";"plays_defense";"opponent_side";"Success";"0";"2025-03-08 10:32:04"
"5267";"192.168.1.131";"Week 2 PLANO";"3";"106";"148";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 10:32:06"
"5268";"192.168.1.131";"Week 2 PLANO";"3";"109";"148";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:32:08"
"5269";"192.168.1.139";"Week 2 PLANO";"3";"102";"10014";"Blue";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:32:09"
"5270";"192.168.1.110";"Week 2 PLANO";"3";"102";"5411";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:32:10"
"5271";"192.168.1.131";"Week 2 PLANO";"3";"114";"148";"Red";"scores_coral_level_3";"reef";"Success";"3";"2025-03-08 10:32:14"
"5272";"192.168.1.110";"Week 2 PLANO";"3";"106";"5411";"Red";"scores_coral_level_2";"reef";"Success";"2";"2025-03-08 10:32:14"
"5273";"192.168.1.131";"Week 2 PLANO";"3";"118";"148";"Red";"picks_up_coral";"station";"Failure";"0";"2025-03-08 10:32:17"
"5274";"192.168.1.110";"Week 2 PLANO";"3";"110";"5411";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:32:18"
"5275";"192.168.1.131";"Week 2 PLANO";"3";"119";"148";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:32:19"
"5276";"192.168.1.131";"Week 2 PLANO";"3";"124";"148";"Red";"scores_coral_level_3";"reef";"Success";"3";"2025-03-08 10:32:23"
"5277";"192.168.1.110";"Week 2 PLANO";"3";"116";"5411";"Red";"scores_coral_level_3";"reef";"Success";"3";"2025-03-08 10:32:24"
"5278";"192.168.1.131";"Week 2 PLANO";"3";"126";"148";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:32:25"
"5279";"192.168.1.139";"Week 2 PLANO";"3";"118";"10014";"Blue";"scores_algae_processor";"processor";"Success";"6";"2025-03-08 10:32:25"
"5280";"192.168.1.131";"Week 2 PLANO";"3";"130";"148";"Red";"scores_coral_level_3";"reef";"Success";"3";"2025-03-08 10:32:30"
"5281";"192.168.1.131";"Week 2 PLANO";"3";"139";"148";"Red";"attempts_parked";"barge";"Success";"2";"2025-03-08 10:32:42"
"5282";"192.168.1.110";"Week 2 PLANO";"3";"130";"5411";"Red";"attempts_parked";"barge";"Success";"2";"2025-03-08 10:32:42"
"5283";"192.168.1.109";"Week 2 PLANO";"4";"12";"7535";"Red";"disabled";"anywhere";"Success";"0";"2025-03-08 10:43:17"
"5284";"192.168.1.139";"Week 2 PLANO";"4";"3";"6526";"Blue";"picks_up_algae";"mid_field";"Success";"0";"2025-03-08 10:43:23"
"5285";"192.168.1.131";"Week 2 PLANO";"4";"15";"1296";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:43:27"
"5287";"192.168.1.110";"Week 2 PLANO";"4";"21";"4192";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 10:43:42"
"5288";"192.168.1.131";"Week 2 PLANO";"4";"40";"1296";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:43:52"
"5289";"192.168.1.110";"Week 2 PLANO";"4";"32";"4192";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:43:53"
"5290";"192.168.1.131";"Week 2 PLANO";"4";"47";"1296";"Red";"scores_coral_level_4";"reef";"Failure";"0";"2025-03-08 10:44:00"
"5291";"192.168.1.110";"Week 2 PLANO";"4";"42";"4192";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 10:44:03"
"5292";"192.168.1.139";"Week 2 PLANO";"4";"44";"6526";"Blue";"picks_up_algae";"mid_field";"Failure";"0";"2025-03-08 10:44:04"
"5293";"192.168.1.110";"Week 2 PLANO";"4";"47";"4192";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:44:08"
"5294";"192.168.1.110";"Week 2 PLANO";"4";"57";"4192";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 10:44:18"
"5295";"192.168.1.110";"Week 2 PLANO";"4";"65";"4192";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:44:26"
"5296";"192.168.1.110";"Week 2 PLANO";"4";"70";"4192";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 10:44:31"
"5297";"192.168.1.131";"Week 2 PLANO";"4";"83";"1296";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:44:36"
"5298";"192.168.1.110";"Week 2 PLANO";"4";"77";"4192";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:44:38"
"5299";"192.168.1.131";"Week 2 PLANO";"4";"87";"1296";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 10:44:40"
"5300";"192.168.1.110";"Week 2 PLANO";"4";"87";"4192";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 10:44:48"
"5301";"192.168.1.131";"Week 2 PLANO";"4";"104";"1296";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:44:57"
"5302";"192.168.1.110";"Week 2 PLANO";"4";"96";"4192";"Red";"scores_coral_level_4";"reef";"Failure";"0";"2025-03-08 10:44:57"
"5303";"192.168.1.131";"Week 2 PLANO";"4";"110";"1296";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 10:45:02"
"5305";"192.168.1.110";"Week 2 PLANO";"4";"130";"4192";"Red";"attempts_parked";"barge";"Success";"2";"2025-03-08 10:45:32"
"5306";"192.168.1.131";"Week 2 PLANO";"4";"138";"1296";"Red";"attempts_parked";"barge";"Success";"2";"2025-03-08 10:45:34"
"5307";"192.168.1.131";"Week 2 PLANO";"5";"2";"6768";"Red";"scores_coral_level_1";"reef";"Failure";"0";"2025-03-08 10:53:57"
"5308";"192.168.1.131";"Week 2 PLANO";"5";"4";"6768";"Red";"crosses_starting_line";"starting_line";"Success";"3";"2025-03-08 10:53:58"
"5309";"192.168.1.110";"Week 2 PLANO";"5";"17";"3355";"Red";"disabled";"anywhere";"Failure";"0";"2025-03-08 10:54:20"
"5310";"192.168.1.130";"Week 2 PLANO";"5";"27";"8732";"Blue";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:54:22"
"5311";"192.168.1.131";"Week 2 PLANO";"5";"35";"6768";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:54:30"
"5312";"192.168.1.130";"Week 2 PLANO";"5";"40";"8732";"Blue";"scores_coral_level_3";"reef";"Failure";"0";"2025-03-08 10:54:35"
"5313";"192.168.1.131";"Week 2 PLANO";"5";"42";"6768";"Red";"scores_coral_level_2";"reef";"Failure";"0";"2025-03-08 10:54:37"
"5314";"192.168.1.130";"Week 2 PLANO";"5";"47";"8732";"Blue";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:54:41"
"5315";"192.168.1.109";"Week 2 PLANO";"5";"61";"8816";"Red";"disabled";"anywhere";"Success";"0";"2025-03-08 10:54:48"
"5316";"192.168.1.130";"Week 2 PLANO";"5";"56";"8732";"Blue";"scores_coral_level_2";"reef";"Success";"2";"2025-03-08 10:54:51"
"5317";"192.168.1.131";"Week 2 PLANO";"5";"63";"6768";"Red";"picks_up_algae";"mid_field";"Failure";"0";"2025-03-08 10:54:57"
"5318";"192.168.1.130";"Week 2 PLANO";"5";"71";"8732";"Blue";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:55:05"
"5319";"192.168.1.130";"Week 2 PLANO";"5";"83";"8732";"Blue";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 10:55:17"
"5320";"192.168.1.130";"Week 2 PLANO";"5";"87";"8732";"Blue";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:55:22"
"5321";"192.168.1.130";"Week 2 PLANO";"5";"98";"8732";"Blue";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 10:55:33"
"5322";"192.168.1.125";"Week 2 PLANO";"5";"93";"5431";"Blue";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:55:35"
"5323";"192.168.1.130";"Week 2 PLANO";"5";"106";"8732";"Blue";"picks_up_coral";"station";"Success";"0";"2025-03-08 10:55:40"
"5324";"192.168.1.131";"Week 2 PLANO";"5";"137";"6768";"Red";"attempts_parked";"barge";"Success";"2";"2025-03-08 10:56:11"
"5325";"192.168.1.130";"Week 2 PLANO";"5";"139";"8732";"Blue";"attempts_parked";"barge";"Success";"2";"2025-03-08 10:56:55"
"5326";"192.168.1.109";"Week 2 PLANO";"6";"4";"9492";"Red";"crosses_starting_line";"starting_line";"Success";"3";"2025-03-08 11:03:14"
"5327";"192.168.1.109";"Week 2 PLANO";"6";"7";"9492";"Red";"scores_coral_level_1";"reef";"Success";"2";"2025-03-08 11:03:17"
"5328";"192.168.1.130";"Week 2 PLANO";"6";"3";"10340";"Blue";"auton_center";"starting_pad";"Success";"0";"2025-03-08 11:03:21"
"5329";"192.168.1.130";"Week 2 PLANO";"6";"5";"10340";"Blue";"starting_position_3";"starting_pad";"Success";"0";"2025-03-08 11:03:22"
"5330";"192.168.1.139";"Week 2 PLANO";"6";"0";"3310";"Blue";"scores_coral_level_4";"reef";"Success";"8";"2025-03-08 11:03:25"
"5331";"192.168.1.139";"Week 2 PLANO";"6";"5";"3310";"Blue";"picks_up_algae";"mid_field";"Success";"0";"2025-03-08 11:03:30"
"5332";"192.168.1.109";"Week 2 PLANO";"6";"21";"9492";"Red";"picks_up_coral";"station";"Failure";"0";"2025-03-08 11:03:31"
"5333";"192.168.1.131";"Week 2 PLANO";"6";"15";"9156";"Red";"crosses_starting_line";"starting_line";"Success";"3";"2025-03-08 11:03:33"
"5334";"192.168.1.139";"Week 2 PLANO";"6";"8";"3310";"Blue";"scores_coral_level_4";"reef";"Success";"8";"2025-03-08 11:03:33"
"5335";"192.168.1.110";"Week 2 PLANO";"6";"9";"3282";"Red";"scores_coral_level_1";"reef";"Success";"2";"2025-03-08 11:03:36"
"5336";"192.168.1.109";"Week 2 PLANO";"6";"26";"9492";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 11:03:36"
"5337";"192.168.1.109";"Week 2 PLANO";"6";"31";"9492";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:03:41"
"5338";"192.168.1.139";"Week 2 PLANO";"6";"17";"3310";"Blue";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:03:42"
"5340";"192.168.1.139";"Week 2 PLANO";"6";"23";"3310";"Blue";"scores_algae_net";"net";"Success";"4";"2025-03-08 11:03:48"
"5341";"192.168.1.130";"Week 2 PLANO";"6";"31";"10340";"Blue";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:03:48"
"5342";"192.168.1.110";"Week 2 PLANO";"6";"24";"3282";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:03:50"
"5343";"192.168.1.109";"Week 2 PLANO";"6";"42";"9492";"Red";"scores_coral_level_4";"reef";"Failure";"0";"2025-03-08 11:03:53"
"5344";"192.168.1.131";"Week 2 PLANO";"6";"37";"9156";"Red";"picks_up_coral";"station";"Failure";"0";"2025-03-08 11:03:54"
"5345";"192.168.1.139";"Week 2 PLANO";"6";"30";"3310";"Blue";"picks_up_algae";"mid_field";"Success";"0";"2025-03-08 11:03:55"
"5346";"192.168.1.109";"Week 2 PLANO";"6";"48";"9492";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:03:58"
"5347";"192.168.1.139";"Week 2 PLANO";"6";"35";"3310";"Blue";"picks_up_algae";"mid_field";"Failure";"0";"2025-03-08 11:04:00"
"5348";"192.168.1.110";"Week 2 PLANO";"6";"34";"3282";"Red";"scores_coral_level_1";"reef";"Failure";"0";"2025-03-08 11:04:00"
"5349";"192.168.1.139";"Week 2 PLANO";"6";"42";"3310";"Blue";"picks_up_algae";"mid_field";"Success";"0";"2025-03-08 11:04:07"
"5350";"192.168.1.110";"Week 2 PLANO";"6";"42";"3282";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:04:08"
"5351";"192.168.1.109";"Week 2 PLANO";"6";"58";"9492";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 11:04:08"
"5352";"192.168.1.139";"Week 2 PLANO";"6";"45";"3310";"Blue";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 11:04:10"
"5353";"192.168.1.109";"Week 2 PLANO";"6";"64";"9492";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:04:14"
"5354";"192.168.1.110";"Week 2 PLANO";"6";"53";"3282";"Red";"scores_coral_level_1";"reef";"Failure";"0";"2025-03-08 11:04:19"
"5355";"192.168.1.109";"Week 2 PLANO";"6";"73";"9492";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 11:04:23"
"5356";"192.168.1.110";"Week 2 PLANO";"6";"60";"3282";"Red";"crosses_starting_line";"starting_line";"Success";"0";"2025-03-08 11:04:26"
"5357";"192.168.1.109";"Week 2 PLANO";"6";"82";"9492";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:04:32"
"5358";"192.168.1.131";"Week 2 PLANO";"6";"75";"9156";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:04:33"
"5359";"192.168.1.110";"Week 2 PLANO";"6";"68";"3282";"Red";"scores_coral_level_1";"reef";"Success";"1";"2025-03-08 11:04:34"
"5360";"192.168.1.110";"Week 2 PLANO";"6";"75";"3282";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:04:41"
"5361";"192.168.1.109";"Week 2 PLANO";"6";"100";"9492";"Red";"scores_coral_level_4";"reef";"Failure";"0";"2025-03-08 11:04:50"
"5362";"192.168.1.110";"Week 2 PLANO";"6";"84";"3282";"Red";"scores_coral_level_1";"reef";"Failure";"0";"2025-03-08 11:04:50"
"5363";"192.168.1.109";"Week 2 PLANO";"6";"110";"9492";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:05:01"
"5364";"192.168.1.110";"Week 2 PLANO";"6";"96";"3282";"Red";"picks_up_coral";"station";"Failure";"0";"2025-03-08 11:05:02"
"5365";"192.168.1.110";"Week 2 PLANO";"6";"108";"3282";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:05:14"
"5366";"192.168.1.131";"Week 2 PLANO";"6";"119";"9156";"Red";"scores_coral_level_2";"reef";"Failure";"0";"2025-03-08 11:05:16"
"5367";"192.168.1.110";"Week 2 PLANO";"6";"112";"3282";"Red";"scores_coral_level_1";"reef";"Success";"1";"2025-03-08 11:05:18"
"5368";"192.168.1.110";"Week 2 PLANO";"6";"118";"3282";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:05:24"
"5369";"192.168.1.110";"Week 2 PLANO";"6";"123";"3282";"Red";"scores_coral_level_1";"reef";"Success";"1";"2025-03-08 11:05:29"
"5370";"192.168.1.125";"Week 2 PLANO";"6";"126";"9457";"Blue";"attempts_parked";"barge";"Success";"2";"2025-03-08 11:05:31"
"5371";"192.168.1.110";"Week 2 PLANO";"6";"130";"3282";"Red";"attempts_parked";"barge";"Success";"2";"2025-03-08 11:05:37"
"5372";"192.168.1.131";"Week 2 PLANO";"6";"138";"9156";"Red";"attempts_parked";"barge";"Success";"2";"2025-03-08 11:05:40"
"5373";"192.168.1.109";"Week 2 PLANO";"6";"146";"9492";"Red";"attempts_parked";"barge";"Success";"2";"2025-03-08 11:05:42"
"5374";"192.168.1.130";"Week 2 PLANO";"6";"139";"10340";"Blue";"attempts_parked";"barge";"Success";"2";"2025-03-08 11:05:44"
"5375";"192.168.1.109";"Week 2 PLANO";"7";"4";"4153";"Red";"crosses_starting_line";"starting_line";"Success";"3";"2025-03-08 11:12:54"
"5376";"192.168.1.131";"Week 2 PLANO";"7";"1";"5411";"Red";"scores_coral_level_4";"reef";"Success";"8";"2025-03-08 11:12:59"
"5377";"192.168.1.109";"Week 2 PLANO";"7";"9";"4153";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:13:00"
"5378";"192.168.1.131";"Week 2 PLANO";"7";"3";"5411";"Red";"crosses_starting_line";"starting_line";"Success";"3";"2025-03-08 11:13:00"
"5379";"192.168.1.131";"Week 2 PLANO";"7";"11";"5411";"Red";"picks_up_algae";"mid_field";"Success";"0";"2025-03-08 11:13:09"
"5380";"192.168.1.131";"Week 2 PLANO";"7";"19";"5411";"Red";"scores_algae_net";"net";"Failure";"0";"2025-03-08 11:13:16"
"5381";"192.168.1.131";"Week 2 PLANO";"7";"21";"5411";"Red";"picks_up_algae";"mid_field";"Success";"0";"2025-03-08 11:13:19"
"5382";"192.168.1.109";"Week 2 PLANO";"7";"31";"4153";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:13:21"
"5383";"192.168.1.131";"Week 2 PLANO";"7";"25";"5411";"Red";"scores_algae_net";"net";"Success";"4";"2025-03-08 11:13:22"
"5384";"192.168.1.109";"Week 2 PLANO";"7";"36";"4153";"Red";"scores_coral_level_1";"reef";"Failure";"0";"2025-03-08 11:13:26"
"5385";"192.168.1.131";"Week 2 PLANO";"7";"30";"5411";"Red";"picks_up_algae";"mid_field";"Success";"0";"2025-03-08 11:13:28"
"5386";"192.168.1.131";"Week 2 PLANO";"7";"37";"5411";"Red";"scores_algae_net";"net";"Failure";"0";"2025-03-08 11:13:35"
"5387";"192.168.1.110";"Week 2 PLANO";"7";"29";"7119";"Red";"picks_up_coral";"station";"Failure";"0";"2025-03-08 11:13:35"
"5388";"192.168.1.109";"Week 2 PLANO";"7";"45";"4153";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:13:36"
"5389";"192.168.1.131";"Week 2 PLANO";"7";"40";"5411";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:13:38"
"5390";"192.168.1.131";"Week 2 PLANO";"7";"45";"5411";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 11:13:42"
"5391";"192.168.1.131";"Week 2 PLANO";"7";"49";"5411";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:13:47"
"5392";"192.168.1.131";"Week 2 PLANO";"7";"51";"5411";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 11:13:48"
"5393";"192.168.1.131";"Week 2 PLANO";"7";"57";"5411";"Red";"picks_up_coral";"station";"Failure";"0";"2025-03-08 11:13:55"
"5394";"192.168.1.131";"Week 2 PLANO";"7";"59";"5411";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:13:56"
"5395";"192.168.1.131";"Week 2 PLANO";"7";"63";"5411";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 11:14:01"
"5396";"192.168.1.131";"Week 2 PLANO";"7";"73";"5411";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:14:11"
"5397";"192.168.1.125";"Week 2 PLANO";"7";"66";"7091";"Blue";"disabled";"anywhere";"Success";"0";"2025-03-08 11:14:11"
"5398";"192.168.1.131";"Week 2 PLANO";"7";"77";"5411";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 11:14:14"
"5399";"192.168.1.109";"Week 2 PLANO";"7";"86";"4153";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:14:17"
"5400";"192.168.1.109";"Week 2 PLANO";"7";"88";"4153";"Red";"scores_coral_level_2";"reef";"Success";"2";"2025-03-08 11:14:18"
"5401";"192.168.1.131";"Week 2 PLANO";"7";"82";"5411";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:14:19"
"5402";"192.168.1.109";"Week 2 PLANO";"7";"91";"4153";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:14:21"
"5403";"192.168.1.131";"Week 2 PLANO";"7";"85";"5411";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 11:14:22"
"5404";"192.168.1.109";"Week 2 PLANO";"7";"92";"4153";"Red";"scores_coral_level_2";"reef";"Success";"2";"2025-03-08 11:14:23"
"5405";"192.168.1.131";"Week 2 PLANO";"7";"89";"5411";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:14:27"
"5406";"192.168.1.131";"Week 2 PLANO";"7";"95";"5411";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 11:14:33"
"5407";"192.168.1.131";"Week 2 PLANO";"7";"100";"5411";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:14:38"
"5408";"192.168.1.109";"Week 2 PLANO";"7";"109";"4153";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:14:39"
"5409";"192.168.1.110";"Week 2 PLANO";"7";"95";"7119";"Red";"attempts_parked";"barge";"Success";"2";"2025-03-08 11:14:41"
"5410";"192.168.1.110";"Week 2 PLANO";"7";"96";"7119";"Red";"attempts_parked";"barge";"Success";"2";"2025-03-08 11:14:42"
"5411";"192.168.1.109";"Week 2 PLANO";"7";"113";"4153";"Red";"scores_coral_level_1";"reef";"Success";"1";"2025-03-08 11:14:44"
"5412";"192.168.1.131";"Week 2 PLANO";"7";"106";"5411";"Red";"scores_coral_level_4";"reef";"Success";"4";"2025-03-08 11:14:44"
"5413";"192.168.1.131";"Week 2 PLANO";"7";"111";"5411";"Red";"picks_up_coral";"station";"Success";"0";"2025-03-08 11:14:49"
